# Lines still containing Cyrillic, per file. Generated; see
# ops/ci/check-language.py. The count may only go down: this file is
# a ratchet, and its diff is the record of the migration to English.
#
# path	lines
core/src/test/java/sonder/gateway/ReplyGoldenTest.java	92
core/src/test/java/sonder/irc/IrcCastTest.java	37
core/src/test/java/sonder/irc/IrcLineTest.java	30
core/src/test/java/sonder/irc/IrcSessionTest.java	86
core/src/test/java/sonder/outbox/OutboxTickerTest.java	17
core/src/test/java/sonder/rest/RestContractTest.java	47
core/src/test/java/sonder/shell/fixture/EntityWithoutVersion.java	4
core/src/test/java/sonder/shell/fixture/ShellThatDecides.java	6
core/src/test/java/sonder/store/AuthHttpIT.java	163
core/src/test/java/sonder/store/DeletePostFlowIT.java	47
core/src/test/java/sonder/store/DrainBenchIT.java	86
core/src/test/java/sonder/store/EnrichmentIT.java	66
core/src/test/java/sonder/store/EventsHttpIT.java	47
core/src/test/java/sonder/store/FeedHttpIT.java	59
core/src/test/java/sonder/store/FeedProjectionIT.java	83
core/src/test/java/sonder/store/FeedStreamIT.java	36
core/src/test/java/sonder/store/FirebirdSupport.java	29
core/src/test/java/sonder/store/GuestAccessIT.java	174
core/src/test/java/sonder/store/IrcGatewayIT.java	126
core/src/test/java/sonder/store/OptimisticLockIT.java	45
core/src/test/java/sonder/store/OutboxDoorbellIT.java	32
core/src/test/java/sonder/store/OutboxDrainerIT.java	62
core/src/test/java/sonder/store/OutboxIT.java	48
core/src/test/java/sonder/store/OutboxPumpIT.java	41
core/src/test/java/sonder/store/OutboxScheduleIT.java	29
core/src/test/java/sonder/store/OutboxWatchIT.java	30
core/src/test/java/sonder/store/PipelineGateIT.java	46
core/src/test/java/sonder/store/PostHttpIT.java	73
core/src/test/java/sonder/store/SchemaIT.java	51
core/src/test/java/sonder/store/SessionIT.java	42
core/src/test/java/sonder/store/StateLoaderIT.java	70
core/src/test/java/sonder/store/UserHttpIT.java	81
core/src/test/resources/logback-test.xml	6
docker-compose.yml	102
docs/ARCHITECTURE.md	255
docs/BENCHMARK.md	165
docs/ENGINEERING.md	123
docs/NEXT.md	82
docs/PHASE0-FINDINGS.md	375
docs/PLAN.md	1284
docs/RISKS.md	207
docs/THREAT-MODEL.md	161
docs/TURBOCORE.md	353
docs/adr/0000-template.md	14
docs/adr/0001-modern-design-everywhere.md	23
docs/adr/0002-hexagonal-core.md	25
docs/adr/0003-outbox-over-notify.md	30
docs/adr/0004-corba-iiop.md	26
docs/adr/0005-fpc-dual-target.md	26
docs/adr/0006-xslt-screen-rendering.md	27
docs/adr/0007-serial-mux-transport.md	38
docs/adr/0008-cooperative-fibers.md	34
docs/adr/0009-vanilla-dosbox-baseline.md	37
docs/adr/0010-large-memory-model.md	51
docs/adr/0011-pascal-domain-core.md	78
docs/adr/0012-own-reactive-core.md	43
docs/adr/0013-firebird-and-orm.md	68
docs/adr/0014-utf8-through-the-core.md	60
docs/adr/0015-server-side-mux.md	68
docs/adr/0016-events-owns-its-data.md	54
docs/adr/0017-line-without-netty.md	37
docs/adr/0018-cobol-batch-digest.md	72
docs/adr/0019-reclen-second-opinion.md	111
docs/adr/0020-digest-on-a-schedule.md	72
docs/adr/0021-irc-gateway.md	101
docs/adr/0022-domain-second-opinion.md	92
docs/adr/README.md	26
docs/bench/SUMMARY.md	11
docs/bench/drain.svg	6
docs/bench/latency-read.svg	5
docs/bench/latency-write.svg	5
docs/bench/throughput-write.svg	6
docs/bench/throughput.svg	7
dosnode/fuzz/soak-log.tsv	253
dosnode/fuzz/soak.pas	62
dosnode/fuzz/soak.sh	120
dosnode/prolog/createpost.pl	17
dosnode/prolog/registeruser.pl	15
dosnode/prolog/rules.pl	39
dosnode/src/domain/dmdecide.pas	73
dosnode/src/domain/dmrules.pas	40
dosnode/src/generated/dcdsrv.pas	31
dosnode/src/generated/dcdtypes.pas	17
dosnode/src/generated/errcodes.inc	15
dosnode/src/node7.pas	187
dosnode/src/turbocore/tcarena.pas	102
dosnode/src/turbocore/tcfiber.pas	67
dosnode/src/turbocore/tcframe.pas	74
dosnode/src/turbocore/tclog.pas	42
dosnode/src/turbocore/tcloop.pas	61
dosnode/src/turbocore/tcmux.pas	98
dosnode/src/turbocore/tcport.pas	117
dosnode/src/turbocore/tcresult.pas	24
dosnode/src/turbocore/tcsched.pas	55
dosnode/src/turbocore/tcsoap.pas	92
dosnode/src/turbocore/tcstr.pas	73
dosnode/src/turbocore/tctest.pas	34
dosnode/src/turbocore/tcxml.pas	141
dosnode/tests/tstcore.pas	131
dosnode/tests/tstdomn.pas	190
dosnode/tests/tstfram.pas	106
dosnode/tests/tstfuzz.pas	43
dosnode/tests/tstgold.pas	117
dosnode/tests/tstlog.pas	61
dosnode/tests/tstloop.pas	77
dosnode/tests/tstmux.pas	110
dosnode/tests/tstport.pas	65
dosnode/tests/tstsched.pas	99
dosnode/tests/tstsoap.pas	179
dosnode/tests/tststr.pas	138
dosnode/tests/tstxml.pas	190
dosnode/tools/mkcases.pas	102
dosnode/tools/mkframes.pas	33
dosnode/tools/mkreplies.pas	41
dosnode/tools/sizes.pas	14
ops/bench/load.py	178
ops/bench/report.py	289
ops/ci/bench.sh	12
ops/ci/chaos.sh	71
ops/ci/check-budgets.py	80
ops/ci/check-layers.py	145
ops/ci/check-shell.py	112
ops/ci/digest-export.sh	46
ops/ci/digest-schedule-test.sh	37
ops/ci/digest-schedule.sh	73
ops/ci/domain-crosscheck.sh	25
ops/ci/e2e-web.sh	12
ops/ci/falsify/budgets.sh	11
ops/ci/falsify/digest-schedule.sh	20
ops/ci/falsify/domain-crosscheck.sh	35
ops/ci/falsify/eol.sh	14
ops/ci/falsify/lag.sh	18
ops/ci/falsify/layers.sh	27
ops/ci/falsify/report.sh	22
ops/ci/falsify/restart.sh	28
ops/ci/falsify/run.sh	80
ops/ci/falsify/shell.sh	14
ops/ci/gen-domain-cases.sh	16
ops/ci/gen-frames.sh	14
ops/ci/gen-replies.sh	17
ops/ci/lag-load.sh	43
ops/ci/lag.sh	76
ops/ci/lighthouse-median.js	64
ops/ci/lighthouse.sh	25
ops/ci/mvn.sh	11
ops/ci/reclen-test.sh	70
ops/ci/reclen.sh	37
ops/ci/report-test.sh	68
ops/ci/report.sh	15
ops/ci/run-dos-tap.sh	27
ops/ci/run-e2e.sh	35
ops/ci/run-it.sh	25
ops/ci/timing.sh	49
ops/ci/trace.sh	69
ops/ci/web.sh	22
ops/compose/Dockerfile.app	13
ops/compose/Dockerfile.bf	20
ops/compose/Dockerfile.digest	45
ops/compose/Dockerfile.node	8
ops/compose/Dockerfile.prolog	9
ops/compose/Dockerfile.report	31
ops/compose/Dockerfile.web	18
ops/compose/digest-entrypoint.sh	56
ops/compose/dosbox.conf	10
ops/compose/grafana/dashboards.yml	4
ops/compose/grafana/datasource.yml	5
ops/compose/grafana/sonder.json	26
ops/compose/nginx.conf	87
ops/compose/node-entrypoint.sh	32
ops/compose/prometheus.yml	21
ops/compose/reclen-verdict.sh	61
ops/toolchain/Dockerfile	22
ops/toolchain/build-fpc-cross.sh	29
ops/toolchain/fpc-dos	13
ops/toolchain/smoke.pas	3
pom.xml	14
report/copybook/DIGEST.cpy	4
report/src/DIGEST.cbl	61
report/src/reclen.bf	180
report/test/make-fixture.py	70
sonder	391
spikes/README.md	25
spikes/s1-fibers/run-all.sh	14
spikes/s1-fibers/run-b.sh	14
spikes/s1-fibers/run.sh	13
spikes/s1-fibers/src/s1.pas	80
spikes/s1-fibers/src/s1b.pas	61
spikes/s2-transport/host.py	69
spikes/s2-transport/probe.sh	17
spikes/s2-transport/run.sh	18
spikes/s2-transport/src/s2.pas	39
spikes/s2-transport/src/s2probe.pas	35
spikes/s3-headless/run.sh	29
spikes/s5-iiop/Dockerfile	4
spikes/s5-iiop/build.log	2
spikes/s5-iiop/compose.yml	3
spikes/s5-iiop/idl/enrichment.idl	13
spikes/s5-iiop/run.log	13
spikes/s5-iiop/run.sh	10
spikes/s5-iiop/src/EnrichmentClient.java	43
spikes/s5-iiop/src/EnrichmentServer.java	13
spikes/s6-firebird/Dockerfile	2
spikes/s6-firebird/compose.yml	3
spikes/s6-firebird/pom.xml	4
spikes/s6-firebird/run.log	17
spikes/s6-firebird/run.sh	8
spikes/s6-firebird/src/main/java/FirebirdProbe.java	77
tools/gen-api-types/gen_api_types.py	55
tools/gen-api-types/gen_events.py	32
tools/gen-copybook/gen_copybook.py	109
tools/gen-errors/gen_errors.py	47
tools/gen-reclen/gen_reclen.py	418
tools/gen-reclen/selftest.py	98
tools/validate-contracts/selftest.py	68
tools/validate-contracts/validate.py	148
tools/wsdl2pas/wsdl2pas.py	128
web/e2e/a11y.spec.ts	46
web/e2e/flow.spec.ts	191
web/e2e/package.json	1
